name,type,format,duration,artist,album,genre
Mr. Brightside,mp3,3:43,The Killers,Hot Fuss,Alternative
Somebody Told Me,mp3,3:17,The Killers,Hot Fuss,Alternative
Smile Like You Mean It,mp3,3:54,The Killers,Hot Fuss,Alternative
All These Things That I've Done,mp3,5:01,The Killers,Hot Fuss,Alternative
When You Were Young,mp3,3:40,The Killers,Sam's Town,Alternative
Read My Mind,mp3,4:06,The Killers,Sam's Town,Alternative
For Reasons Unknown,mp3,3:32,The Killers,Sam's Town,Alternative
Human,mp3,4:05,The Killers,Day & Age,Alternative
Spaceman,mp3,4:44,The Killers,Day & Age,Alternative
Take Me Out,mp3,3:57,Franz Ferdinand,Franz Ferdinand,Alternative
The Dark of the Matinée,mp3,4:03,Franz Ferdinand,Franz Ferdinand,Alternative
Killer Queen,mp3,3:33,Queen,Sheer Heart Attack,Rock
Stone Cold Crazy,mp3,2:16,Queen,Sheer Heart Attack,Rock
Behind Blue Eyes,mp3,3:42,The Who,Who's Next,Rock
Baba O'Riley,mp3,5:01,The Who,Who's Next,Rock
Won't Get Fooled Again,mp3,8:32,The Who,Who's Next,Rock
Pinball Wizard,mp3,3:01,The Who,Tommy,Rock
I Can See for Miles,mp3,4:06,The Who,The Who Sell Out,Rock
My Generation,mp3,3:18,The Who,My Generation,Rock
Substitute,mp3,3:47,The Who,Meaty Beaty Big and Bouncy,Rock
I Can't Explain,mp3,2:05,The Who,Meaty Beaty Big and Bouncy,Rock
Happy Jack,mp3,2:12,The Who,A Quick One,Rock
Pictures of Lily,mp3,2:44,The Who,A Quick One,Rock
No Woman, No Cry,mp3,7:10,Bob Marley & The Wailers,Natty Dread,Reggae
I Shot The Sheriff,mp3,4:41,Bob Marley & The Wailers,Burnin',Reggae
Get Up, Stand Up,mp3,3:19,Bob Marley & The Wailers,Burnin',Reggae
True Love,mp3,3:29,Bob Marley & The Wailers,Uprising,Reggae
I've Got Dreams to Remember,mp3,3:15,Otis Redding,The Dock of the Bay,Soul
(Sittin' On) The Dock of the Bay,mp3,2:43,Otis Redding,The Dock of the Bay,Soul
Where's the Love,mp3,3:52,Hanson,Middle of Nowhere,Pop
I Will Come to You,mp3,4:11,Hanson,Middle of Nowhere,Pop
Fast Car,mp3,4:58,Tracy Chapman,Tracy Chapman,Folk
Talkin' Bout a Revolution,mp3,2:40,Tracy Chapman,Tracy Chapman,Folk
Baby Can I Hold You,mp3,3:16,Tracy Chapman,Tracy Chapman,Folk
Give Me One Reason,mp3,4:30,Tracy Chapman,New Beginning,Folk
Torn,mp3,4:06,Natalie Imbruglia,Left of the Middle,Pop
